sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
11,Ag,Escherichia coli,MTCC 1302,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MBC,,,160.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
12,Ag,Escherichia coli,MTCC 1687,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MBC,,,180.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
13,Ag,Bacillus subtilis,MTCC 441,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MBC,,,60.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
14,Ag,Staphylococcus aureus,NCIM 2079,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MBC,,,160.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
15,Ag,Staphylococcus aureus,NCIM 5021,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MBC,,,160.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
16,Ag,Staphylococcus aureus,NCIM 5022,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MBC,,,160.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
17,Ag,Escherichia coli,MTCC 443,chemical_synthesis using sodium borohydride and silver ions,,,100.0,2.26,10.34,3.0,spherical,disc_diffusion,,,14.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
18,Ag,Escherichia coli,MTCC 739,chemical_synthesis using sodium borohydride and silver ions,,,100.0,2.26,10.34,3.0,spherical,disc_diffusion,,,13.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
19,Ag,Escherichia coli,MTCC 1302,chemical_synthesis using sodium borohydride and silver ions,,,100.0,2.26,10.34,3.0,spherical,disc_diffusion,,,15.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
20,Ag,Escherichia coli,MTCC 1687,chemical_synthesis using sodium borohydride and silver ions,,,100.0,2.26,10.34,3.0,spherical,disc_diffusion,,,13.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
21,Ag,Bacillus subtilis,MTCC 441,chemical_synthesis using sodium borohydride and silver ions,,,102.0,2.26,10.34,3.0,spherical,disc_diffusion,,,11.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
22,Ag,Staphylococcus aureus,NCIM 2079,chemical_synthesis using sodium borohydride and silver ions,,,100.0,2.26,10.34,3.0,spherical,disc_diffusion,,,16.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
23,Ag,Staphylococcus aureus,NCIM 5021,chemical_synthesis using sodium borohydride and silver ions,,,100.0,2.26,10.34,3.0,spherical,disc_diffusion,,,16.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
24,Ag,Staphylococcus aureus,NCIM 5022,chemical_synthesis using sodium borohydride and silver ions,,,104.0,2.26,10.34,3.0,spherical,disc_diffusion,,,16.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
25,Ag,Pseudomonas aeruginosa,,green_synthesis using Cassia fistula,,,,50,150.0,100.0,"trianglular, hexahedral",MIC,62.0,,,,,,,,,,,https://iopscience.iop.org/article/10.1088/2043-6254/aa92bb/meta,10.1088/2043-6254/aa92bb,2,24.0,,,,,,Advances in Natural Sciences: Nanoscience and Nanotechnology,IOP Publishing,2017,Biosynthesis and evaluation of the characteristics of silver nanoparticles using <i>Cassia fistula</i> fruit aqueous extract and its antibacterial activity,False,True,hybrid,2_ghafoori2017.pdf,1
26,Ag,Acinetobacter baumannii,,green_synthesis using Cassia fistula,,,,50,150.0,100.0,"trianglular, hexahedral",MIC,62.0,,,,,,,,,,,https://iopscience.iop.org/article/10.1088/2043-6254/aa92bb/meta,10.1088/2043-6254/aa92bb,2,24.0,,,,,,Advances in Natural Sciences: Nanoscience and Nanotechnology,IOP Publishing,2017,Biosynthesis and evaluation of the characteristics of silver nanoparticles using <i>Cassia fistula</i> fruit aqueous extract and its antibacterial activity,False,True,hybrid,2_ghafoori2017.pdf,1
27,Ag,Staphylococcus aureus,,green_synthesis using Cassia fistula,,,,50,150.0,100.0,"trianglular, hexahedral",MIC,125.0,,,,,,,,,,,https://iopscience.iop.org/article/10.1088/2043-6254/aa92bb/meta,10.1088/2043-6254/aa92bb,2,24.0,,,,,,Advances in Natural Sciences: Nanoscience and Nanotechnology,IOP Publishing,2017,Biosynthesis and evaluation of the characteristics of silver nanoparticles using <i>Cassia fistula</i> fruit aqueous extract and its antibacterial activity,False,True,hybrid,2_ghafoori2017.pdf,1
28,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Amikacin,,,8,12.0,10.0,spherical,MBC,1.0,,,,0.015,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
29,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Gentamicin,,,8,12.0,10.0,spherical,MBC,0.25,,,,0.015,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
30,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Kanamycin,,,8,12.0,10.0,spherical,MBC,1.0,,,,0.125,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
31,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Amoxicillin,,,8,12.0,10.0,spherical,MBC,32.0,,,,0.125,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
32,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Ampicillin,,,8,12.0,10.0,spherical,MBC,16.0,,,,0.125,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
33,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Penicillin,,,8,12.0,10.0,spherical,MBC,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
34,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Ceftazidime,,,8,12.0,10.0,spherical,MBC,0.125,,,,0.03,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
35,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Ceftriaxone,,,8,12.0,10.0,spherical,MBC,0.5,,,,0.015,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
36,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Vancomycin,,,8,12.0,10.0,spherical,MBC,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
37,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Ciprofloxacin,,,8,12.0,10.0,spherical,MBC,0.015,,,,0.015,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
38,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Doxycycline,,,8,12.0,10.0,spherical,MBC,8.0,,,,0.015,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
39,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Tetracycline,,,8,12.0,10.0,spherical,MBC,8.0,,,,0.015,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
40,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Chloramphenicol,,,8,12.0,10.0,spherical,MBC,32.0,,,,0.06,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
41,Ag,Escherichia coli,25922,green_synthesis using Acinetobacter calcoaceticus,Trimethoprim,,,8,12.0,10.0,spherical,MBC,0.25,,,,0.25,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
42,Ag,Acinetobacter baumannii,AIIMS 7,green_synthesis using Acinetobacter calcoaceticus,Amikacin,,,8,12.0,10.0,spherical,MBC,128.0,,,,2.0,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
43,Ag,Acinetobacter baumannii,AIIMS 7,green_synthesis using Acinetobacter calcoaceticus,Gentamicin,,,8,12.0,10.0,spherical,MBC,512.0,,,,2.0,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
44,Ag,Acinetobacter baumannii,AIIMS 7,green_synthesis using Acinetobacter calcoaceticus,Kanamycin,,,8,12.0,10.0,spherical,MBC,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
45,Ag,Acinetobacter baumannii,AIIMS 7,green_synthesis using Acinetobacter calcoaceticus,Amoxicillin,,,8,12.0,10.0,spherical,MBC,4095.0,,,,64.0,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
46,Ag,Acinetobacter baumannii,AIIMS 7,green_synthesis using Acinetobacter calcoaceticus,Ampicillin,,,8,12.0,10.0,spherical,MBC,4095.0,,,,64.0,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
47,Ag,Acinetobacter baumannii,AIIMS 7,green_synthesis using Acinetobacter calcoaceticus,Penicillin,,,8,12.0,10.0,spherical,MBC,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
48,Ag,Acinetobacter baumannii,AIIMS 7,green_synthesis using Acinetobacter calcoaceticus,Ceftazidime,,,8,12.0,10.0,spherical,MBC,512.0,,,,512.0,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,10.3390/antibiotics11091205,3,20.0,,,,,,Antibiotics,MDPI AG,2022,Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,True,True,gold,3_antibiotics-11-01205-v2.pdf,1
