smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf
CCOC(=O)C1=C(Cn2cnc3cc(C)c(C)cc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6h,MIC,'=',16,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1cccc(F)c1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9a,MIC,'=',16,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(F)cc1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9b,MIC,'=',2,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(F)cc1F,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9c,MIC,'=',4,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(C(F)(F)F)cc1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9d,MIC,'=',2,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1cccc(Cl)c1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9e,MIC,'=',2,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(Cl)cc1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9f,MIC,'=',2,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(Cl)cc1Cl,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9g,MIC,'=',8,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncccn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1a,MIC,'=',64,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4nccc(C)n4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1b,MIC,'=',1,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4nccc(N)n4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1c,MIC,'=',16,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4nccc(C(F)(F)F)n4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1d,MIC,'=',256,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncc(C)cn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1e,MIC,'=',2,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCc1cnc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4CC)CC2)nc1,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1f,MIC,'=',1,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncc(OC)cn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1g,MIC,'=',2,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncc(F)cn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1h,MIC,'=',128,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncc(Br)cn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1i,MIC,'=',128,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4ncccn4)CC3)c(F)cc2c1=O,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1j,MIC,'=',1,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
Cc1ccnc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)n1,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1k,MIC,'=',8,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4nccc(C(F)(F)F)n4)CC3)c(F)cc2c1=O,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1l,MIC,'=',32,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
Cc1cnc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)nc1,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1m,MIC,'=',8,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCc1cnc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)nc1,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1n,MIC,'=',4,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
COc1cnc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)nc1,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1o,MIC,'=',4,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4ncc(F)cn4)CC3)c(F)cc2c1=O,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1p,MIC,'=',8,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4ncc(Br)cn4)CC3)c(F)cc2c1=O,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1q,MIC,'=',128,µg/mL,E. C. 25922,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCOC(=O)C1=C(Cn2cnc3ccccc32)NC(=O)NC1c1ccco1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,5a,MIC,'=',128,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccccc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,5b,MIC,'=',64,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccccc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,5c,MIC,'=',64,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6a,MIC,'=',64,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccc([N+](=O)[O-])cc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6b,MIC,'=',32,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccc(Cl)cc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6c,MIC,'=',16,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(C)c(C)cc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6d,MIC,'=',128,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6e,MIC,'=',16,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccc([N+](=O)[O-])cc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6f,MIC,'=',32,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccc(Cl)cc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6g,MIC,'=',64,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(C)c(C)cc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6h,MIC,'=',32,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1cccc(F)c1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9a,MIC,'=',64,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(F)cc1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9b,MIC,'=',32,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(F)cc1F,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9c,MIC,'=',64,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(C(F)(F)F)cc1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9d,MIC,'=',64,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1cccc(Cl)c1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9e,MIC,'=',16,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(Cl)cc1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9f,MIC,'=',128,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1ccc(Cl)cc1Cl,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,9g,MIC,'=',64,µg/mL,E. c.,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 2,3.0,scheme 2,cjoc.202200326
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncccn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1a,MIC,'=',16,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4nccc(C)n4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1b,MIC,'=',64,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4nccc(N)n4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1c,MIC,'=',4,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4nccc(C(F)(F)F)n4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1d,MIC,>,256,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncc(C)cn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1e,MIC,'=',16,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCc1cnc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4CC)CC2)nc1,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1f,MIC,'=',16,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncc(OC)cn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1g,MIC,'=',64,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncc(F)cn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1h,MIC,'=',16,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncc(Br)cn4)CC3)cc21,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1i,MIC,'=',64,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4ncccn4)CC3)c(F)cc2c1=O,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1j,MIC,'=',8,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
Cc1ccnc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)n1,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1k,MIC,'=',64,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4nccc(C(F)(F)F)n4)CC3)c(F)cc2c1=O,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,Elsevier BV,2022,0,1l,MIC,'=',128,µg/mL,E. C.,Escherichia coli,3,table 1,,,3,table 1,,,3,figure 2,3.0,figure 2,j.bmcl.2022.128885
